10,3718,,,PST,VDC,m/s,degtrue,deg,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,m/s,m/s,m/s,m/s,m/s,deg C
10,3718,2007,1,1040,12.32,1.651,95.8,17.51,2.338,.311,1.5,2.385,.544,1.709,96.3,12.25,2.644,.377,1.539,2.796,.565,-1.99
10,3718,2007,1,1050,12.4,1.202,69.91,8.59,1.879,.239,.785,1.955,.515,1.277,65.61,8.32,2.185,.414,.895,2.148,.631,-1.883
10,3718,2007,1,1100,12.42,1.187,77.3,26.92,2.491,.505,.913,2.469,.656,1.192,70.5,22.47,2.032,.455,.848,2.094,.63,-1.739
10,3718,2007,1,1110,12.48,.816,62.29,23.75,2.185,.469,.553,2.195,.501,1.017,59.63,28.39,2.644,.595,.747,2.644,.692,-1.577
10,3718,2007,1,1120,12.39,2.036,22.53,6.08,2.491,.241,1.999,2.55,.321,2.244,22.33,6.803,2.644,.203,2.242,2.707,.216,-1.824
10,3718,2007,1,1130,12.35,2.441,10.26,9.19,2.95,.258,2.405,2.967,.277,2.491,12.37,5.619,3.103,.264,2.471,3.046,.269,-1.891
10,3718,2007,1,1140,12.31,1.685,18.65,8.92,2.491,.251,1.569,2.379,.364,1.711,18.33,6.796,2.338,.252,1.616,2.309,.379,-1.886
10,3718,2007,1,1150,12.3,1.083,28.68,4.542,1.726,.309,.593,1.804,.472,.901,22.4,.219,1.879,.346,.519,1.778,.386,-1.891
10,3718,2007,1,1200,12.27,1.383,20.39,3.136,1.726,.181,1.024,1.65,.507,1.383,22.38,5.025,1.726,.201,1.11,1.91,.495,-1.96
10,3718,2007,1,1210,12.27,.976,11.64,9.07,1.573,.35,.522,1.455,.367,1.203,9.25,15.96,1.726,.269,.757,1.68,.501,-1.932
10,3718,2007,1,1220,12.27,1.537,336.4,14.41,2.797,.379,1.159,2.721,.647,1.48,334.6,10.07,2.491,.491,1.005,2.421,.648,-1.952
10,3718,2007,1,1230,12.28,2.718,324.9,5.815,3.715,.512,2.574,3.711,.514,2.712,326,5.871,3.868,.57,2.131,3.18,.638,-1.949
10,3718,2007,1,1240,12.28,1.159,317.4,2.934,2.185,.513,.854,2.146,.616,1.099,318.1,6.916,2.185,.591,.674,1.965,.532,-1.965
10,3718,2007,1,1250,12.3,1.006,310.5,7.66,1.726,.297,.532,1.56,.399,.966,299.8,6.083,1.726,.361,.559,1.616,.414,-1.91
10,3718,2007,1,1300,12.33,.763,274.2,43.4,1.573,.379,.487,1.622,.369,.601,265.1,36.88,1.42,.323,.37,1.326,.134,-1.738
10,3718,2007,1,1310,12.42,.901,243.4,31.64,2.185,.461,.615,2.29,.538,.892,252.3,18.93,2.032,.467,.671,2.452,.546,-1.611
10,3718,2007,1,1320,12.4,1.559,251.8,15.7,2.338,.322,1.467,2.182,.512,1.562,249.2,17.71,2.338,.388,1.348,2.322,.665,-1.622
10,3718,2007,1,1330,12.37,1.407,245.6,6.483,2.032,.227,1.176,1.991,.542,1.374,246.2,8.17,1.726,.205,1.079,1.767,.535,-1.678
10,3718,2007,1,1340,12.32,1.709,245.5,6.083,2.032,.189,1.728,2.139,.229,1.74,246,7.72,2.338,.21,1.719,2.274,.317,-1.709
10,3718,2007,1,1350,12.3,1.614,248.9,9.77,2.185,.268,1.523,2.147,.459,1.491,253.2,13.59,2.032,.266,1.316,2.058,.532,-1.739
10,3718,2007,1,1400,12.3,2.08,274.4,4.759,2.644,.312,2.087,2.631,.347,2.019,272.7,6.775,2.797,.361,2.02,2.68,.451,-1.571
10,3718,2007,1,1410,12.36,2.462,306.4,8.05,3.103,.339,2.409,3.106,.353,2.52,305.9,7.67,3.103,.266,2.491,3.158,.279,-1.465
10,3718,2007,1,1420,12.4,2.244,292.6,11.11,3.562,.455,2.231,3.64,.493,2.154,295.9,14.6,3.409,.533,2.059,3.475,.65,-1.498
10,3718,2007,1,1430,12.38,.958,295.7,9.84,1.42,.267,.413,1.279,.227,.881,305.6,15.71,1.726,.383,.482,1.554,.33,-1.477
10,3718,2007,1,1440,12.38,2.435,302.5,11.24,3.868,.84,2.352,3.714,.999,2.548,304.9,7.33,3.715,.811,2.505,3.857,.9,-1.496
10,3718,2007,1,1450,12.37,2.722,320.1,6.14,3.562,.444,2.573,3.603,.483,2.74,326.4,6.552,3.868,.45,2.233,3.428,.476,-1.634
10,3718,2007,1,1500,12.34,1.839,300.3,10.51,2.491,.372,1.717,2.554,.563,1.915,300.4,9.17,2.491,.417,1.726,2.548,.639,-1.777
10,3718,2007,1,1510,12.3,2.066,319.1,9.03,2.644,.35,1.871,2.626,.525,2.075,321.7,7.34,2.797,.366,1.527,2.621,.646,-1.795
10,3718,2007,1,1520,12.29,1.456,301.9,15.37,2.032,.257,1.079,1.9,.589,1.502,309.2,17.07,2.032,.241,1.123,2.019,.586,-1.862
10,3718,2007,1,1530,12.27,1.352,299.9,16,1.879,.276,1.007,1.916,.546,1.327,308.3,18,1.879,.386,.996,1.874,.594,-1.865
10,3718,2007,1,1540,12.26,1.763,269.5,15.55,2.491,.447,1.603,2.625,.723,1.739,273.1,11.12,2.797,.457,1.648,2.8,.677,-1.921
10,3718,2007,1,1550,12.25,2.226,280.5,6.825,2.797,.302,2.232,2.861,.308,2.156,286.1,7.24,2.797,.309,2.171,2.797,.315,-1.903
10,3718,2007,1,1600,12.21,2.541,284,8.19,3.103,.264,2.549,3.218,.282,2.462,286.8,7.81,2.95,.288,2.462,3.062,.326,-1.912
10,3718,2007,1,1610,12.17,1.808,239.2,16.78,2.491,.358,1.75,2.581,.468,1.731,234.7,18.35,2.491,.364,1.538,2.573,.63,-2.022
10,3718,2007,1,1620,12.15,1.596,243,6.108,2.491,.317,1.444,2.493,.553,1.313,250.1,9.7,2.185,.525,1.191,2.215,.616,-2.076
10,3718,2007,1,1630,12.15,1.935,264,6.018,3.256,.744,1.724,3.241,1.033,1.813,268,9.81,3.409,.955,1.677,3.416,1.149,-2.068
10,3718,2007,1,1640,12.15,3.069,274.1,12.66,4.021,.4,3.089,4.014,.395,3.08,272,5.851,3.562,.192,3.12,3.552,.208,-1.866
10,3718,2007,1,1650,12.13,2.129,254.2,17.62,3.256,.483,2.115,3.292,.524,2.052,242.9,13.01,3.103,.563,1.95,3.339,.741,-1.832
10,3718,2007,1,1700,12.13,2.602,218.2,12.55,3.409,.518,2.61,3.413,.535,2.633,211.4,14.03,3.409,.424,2.593,3.267,.409,-1.818
10,3718,2007,1,1710,12.11,1.887,253.8,34.69,3.103,.583,1.671,3.049,.845,1.454,252.4,40.73,2.95,.661,1.133,2.903,.879,-1.701
10,3718,2007,1,1720,12.11,3.51,291.1,9.93,4.939,1.092,3.533,5.074,1.1,3.367,292.8,10.21,4.939,1.156,3.4,5.055,1.197,-1.46
10,3718,2007,1,1730,12.13,3.437,283.1,11.02,4.48,.382,3.459,4.608,.379,3.208,283.1,11.61,4.48,.451,3.247,4.715,.48,-1.517
10,3718,2007,1,1740,12.13,3.892,261.1,7.68,6.469,1.024,3.945,6.671,1.046,3.623,260.9,7.76,6.163,.946,3.705,6.286,.992,-1.531
10,3718,2007,1,1750,12.13,6.335,254.7,10.69,7.23,.375,6.321,7.33,.413,5.715,255.5,13.73,6.622,.523,5.839,6.784,.545,-1.471
10,3718,2007,1,1800,12.13,5.376,255.3,9.13,6.775,.565,5.434,6.945,.583,5.033,258.7,13.18,6.469,.582,5.147,6.546,.6,-1.456
10,3718,2007,1,1810,12.13,6.321,244.4,3.751,6.775,.215,6.374,6.822,.259,5.65,248.5,5.421,6.469,.33,5.724,6.53,.386,-1.367
