10,3707,,,PST,deg C,VDC,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,degtrue,deg,deg C,deg C
,,,,,N/A,,.765,,.765,,.765,,.765,,N/A,,N/A,,.1356,
,,,,,N/A,,.35,,.35,,.35,,.35,,0,,0,,-86.39,
ArrayID,StationID,Year,JulianDay,Time,LoggerTemp,BattVolts,50mWS,50mSDS,40mWS,40mSDS,30mWS#1,30mSDS#1,30mWS#2,30mSDS#2,49mWD,49mSDD,29mWD,29mSDD,Temp,SDTemp
10,3707,2002,80,2030,1.4,12.6,3.95,0.37,4,0.35,4.06,0.35,3.74,0.38,156,8,162,6,-0.9,0.2
10,3707,2002,80,2040,1.4,12.6,3.82,0.48,3.82,0.48,4.01,0.42,3.82,0.42,146,5,155,4,-0.9,0.1
10,3707,2002,80,2050,0.9,12.6,3.84,0.38,3.9,0.4,3.94,0.38,3.66,0.38,150,4,158,3,-1.1,0.2
10,3707,2002,80,2100,0.9,12.5,3.73,0.4,3.74,0.38,3.73,0.4,3.41,0.31,158,7,164,5,-1.6,0.1
10,3707,2002,80,2110,0.5,12.5,3.09,0.42,3.14,0.38,3.09,0.4,2.72,0.37,160,5,170,3,-1.3,0.1
10,3707,2002,80,2120,0.5,12.5,2.21,0.5,2.27,0.45,2.15,0.54,1.58,0.67,163,5,173,2,-2.7,0.4
10,3707,2002,80,2130,0.1,12.6,0.99,0.62,0.91,0.54,0.44,0.25,0.35,0,169,14,244,21,-2.9,0.2
10,3707,2002,80,2140,0.1,12.5,0.35,0,0.52,0.35,0.42,0.24,0.35,0,213,18,256,0,-2.5,0.2
10,3707,2002,80,2150,-0.4,12.5,0.35,0,0.35,0,0.35,0,0.35,0,194,26,256,0,-2,0.1
10,3707,2002,80,2200,-0.4,12.5,0.35,0,0.41,0.21,0.57,0.35,0.35,0,205,12,246,6,-1.8,0.1
