10,3702,,,PST,deg C,VDC,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,degtrue,deg,deg C,deg C
,,,,,N/A,,.765,,.765,,.765,,.765,,N/A,,N/A,,.1356,
,,,,,N/A,,.35,,.35,,.35,,.35,,0,,0,,-86.39,
ArrayID,StationID,Year,JulianDay,Time,LoggerTemp,BattVolts,50mWS,50mSDS,40mWS,40mSDS,30mWS#1,30mSDS#1,30mWS#2,30mSDS#2,49mWD,49mSDD,29mWD,29mSDD,Temp,SDTemp
10,3702,2002,32,1010,3.1,13.6,4.54,0.5,4.49,0.48,4.57,0.5,4.64,0.5,262,4,259,5,2.7,0.1
10,3702,2002,32,1020,3.5,13.6,4.61,0.45,4.53,0.48,4.53,0.5,4.58,0.52,259,4,256,4,2.4,0.1
10,3702,2002,32,1030,3.5,13.6,4.07,0.7,3.98,0.67,4,0.64,4.04,0.67,269,9,266,9,2.9,0.2
10,3702,2002,32,1040,4,13.6,6.01,0.67,5.93,0.73,5.99,0.7,6.13,0.76,290,6,288,6,2.9,0.1
10,3702,2002,32,1050,4,13.7,5.7,0.64,5.58,0.64,5.67,0.62,5.8,0.67,294,5,290,7,2.9,0.1
10,3702,2002,32,1100,4.4,13.6,5.65,0.64,5.61,0.56,5.71,0.56,5.89,0.64,297,4,297,5,2.9,0.1
10,3702,2002,32,1110,4.4,13.7,6.04,0.54,5.87,0.56,5.99,0.54,6.18,0.64,296,5,296,4,2.9,0.1
10,3702,2002,32,1120,4.4,13.7,5.12,0.56,5.06,0.54,5.09,0.56,5.23,0.62,295,6,296,5,3.4,0.2
10,3702,2002,32,1130,4.8,13.7,5.71,0.73,5.67,0.67,5.61,0.7,5.71,0.73,289,7,287,9,3.6,0.1
10,3702,2002,32,1140,4.8,13.7,5.81,0.7,5.65,0.7,5.57,0.7,5.67,0.73,289,7,288,7,3.6,0.1
10,3702,2002,32,1150,5.3,13.7,5.86,0.64,5.71,0.67,5.71,0.73,5.81,0.76,291,8,290,8,3.6,0.1
10,3702,2002,32,1200,5.3,13.7,5.83,0.83,5.8,0.76,5.8,0.76,5.93,0.76,285,6,284,8,3.9,0.1
10,3702,2002,32,1210,5.7,13.7,5.92,0.83,5.92,0.83,5.93,0.83,6.05,0.91,287,6,286,7,4.4,0.2
10,3702,2002,32,1220,5.7,13.7,6.57,0.62,6.4,0.64,6.4,0.62,6.54,0.62,287,7,284,6,4.1,0.1
10,3702,2002,32,1230,5.7,13.7,6.59,0.83,6.49,0.8,6.44,0.87,6.6,0.87,286,7,283,8,4.1,0.1
10,3702,2002,32,1240,6.1,13.7,6.24,0.83,6.13,0.76,6.16,0.76,6.31,0.76,287,6,285,7,4.4,0.1
10,3702,2002,32,1250,6.1,13.7,5.81,0.62,5.72,0.67,5.75,0.67,5.81,0.73,281,6,277,6,4.1,0.1
10,3702,2002,32,1300,6.1,13.7,5.44,0.7,5.4,0.73,5.44,0.7,5.52,0.73,281,8,280,9,4.9,0.1
10,3702,2002,32,1310,6.1,13.7,4.72,0.67,4.63,0.67,4.7,0.73,4.77,0.73,275,12,273,14,4.9,0.1
10,3702,2002,32,1320,6.5,13.7,4.83,0.7,4.74,0.7,4.82,0.64,4.88,0.67,287,11,285,11,5.1,0.1
10,3702,2002,32,1330,6.5,13.7,5.62,0.59,5.58,0.62,5.65,0.62,5.8,0.76,295,6,294,6,4.4,0.2
10,3702,2002,32,1340,6.5,13.7,5.52,0.67,5.37,0.64,5.39,0.64,5.52,0.67,295,6,295,6,4.1,0.1
10,3702,2002,32,1350,7,13.7,4.8,0.67,4.74,0.64,4.75,0.67,4.84,0.67,287,13,286,13,4.6,0.1
10,3702,2002,32,1400,7,13.7,5.5,0.62,5.52,0.64,5.57,0.62,5.65,0.62,269,6,267,6,4.9,0.1
10,3702,2002,32,1410,7,13.7,5.2,0.62,5.19,0.59,5.23,0.56,5.26,0.62,272,6,271,6,4.6,0.1
10,3702,2002,32,1420,7,13.7,5.15,0.45,5.04,0.5,5.03,0.52,5.08,0.52,279,4,277,5,4.4,0.1
10,3702,2002,32,1430,7,13.7,4.84,0.54,4.78,0.56,4.86,0.62,4.93,0.64,288,5,284,4,4.6,0.1
10,3702,2002,32,1440,7,13.7,4.07,0.56,3.98,0.56,4.03,0.59,4.09,0.62,290,6,291,5,4.9,0.2
10,3702,2002,32,1450,7,13.7,4,0.67,3.98,0.64,4.08,0.62,4.14,0.7,297,6,297,6,5.1,0.1
10,3702,2002,32,1500,7,13.7,3.42,0.59,3.39,0.59,3.51,0.59,3.58,0.62,295,5,295,5,4.9,0.1
10,3702,2002,32,1510,7,13.7,2.76,0.5,2.65,0.52,2.75,0.52,2.74,0.59,299,9,295,8,4.6,0
10,3702,2002,32,1520,7,13.7,3.89,0.52,3.84,0.48,3.98,0.45,3.65,0.73,305,5,305,6,4.6,0.1
10,3702,2002,32,1530,7,13.7,3.82,0.44,3.72,0.44,3.87,0.42,3.67,0.56,304,4,304,4,4.1,0.1
10,3702,2002,32,1540,6.5,13.7,4.49,0.5,4.38,0.48,4.48,0.45,4.09,0.7,306,5,306,4,3.9,0.1
10,3702,2002,32,1550,6.5,13.7,4.57,0.45,4.47,0.44,4.51,0.48,4.29,0.7,304,4,304,4,3.6,0.1
10,3702,2002,32,1600,6.5,13.7,4.87,0.37,4.77,0.38,4.76,0.44,4.91,0.54,300,3,299,3,3.6,0
10,3702,2002,32,1610,6.1,13.7,5.36,0.38,5.32,0.4,5.36,0.42,5.57,0.42,299,1,296,2,3.6,0.1
10,3702,2002,32,1620,6.1,13.7,5.55,0.38,5.54,0.38,5.55,0.42,5.77,0.44,299,1,296,2,3.4,0.1
10,3702,2002,32,1630,6.1,13.7,5.99,0.42,5.95,0.38,5.95,0.4,6.23,0.48,297,2,295,3,2.9,0.1
10,3702,2002,32,1640,5.7,13.7,6.32,0.35,6.24,0.37,6.26,0.37,6.52,0.37,296,1,293,2,2.7,0.1
10,3702,2002,32,1650,5.3,13.3,6.83,0.42,6.57,0.4,6.4,0.35,6.62,0.38,296,1,292,1,2.4,0.1
10,3702,2002,32,1700,5.3,13.1,6.83,0.42,6.59,0.4,6.52,0.37,6.69,0.42,292,2,289,1,2.2,0.1
10,3702,2002,32,1710,4.8,13.1,7.06,0.37,6.93,0.38,6.92,0.38,7.04,0.37,291,1,287,1,2,0.1
10,3702,2002,32,1720,4.4,13.1,7.19,0.42,6.99,0.42,6.9,0.44,7.01,0.42,291,2,287,2,2,0.1
10,3702,2002,32,1730,4.4,13.1,7.32,0.35,7.23,0.34,7.15,0.34,7.28,0.32,288,1,284,1,2.2,0
10,3702,2002,32,1740,4,13.1,7.34,0.42,7.28,0.38,7.28,0.37,7.41,0.38,290,2,284,1,2.2,0
10,3702,2002,32,1750,3.5,13,7.73,0.4,7.55,0.4,7.49,0.38,7.65,0.4,292,2,288,1,2,0.1
10,3702,2002,32,1800,3.5,13,7.57,0.44,7.41,0.45,7.38,0.44,7.51,0.45,291,2,287,1,2,0.1
10,3702,2002,32,1810,3.1,13,7.19,0.42,7.01,0.37,6.99,0.37,7.11,0.35,293,2,287,1,2,0.1
10,3702,2002,32,1820,3.1,13,7.85,0.38,7.59,0.4,7.51,0.4,7.73,0.42,295,2,289,1,2,0.1
10,3702,2002,32,1830,2.7,13,8.14,0.35,7.83,0.37,7.73,0.38,7.97,0.34,295,2,291,1,2,0
10,3702,2002,32,1840,2.7,13,8.05,0.4,7.79,0.4,7.63,0.42,7.95,0.44,297,2,292,2,2,0
10,3702,2002,32,1850,2.7,13,7.85,0.4,7.51,0.38,7.34,0.4,7.59,0.44,295,2,290,2,1.7,0.1
10,3702,2002,32,1900,2.2,13,7.71,0.4,7.43,0.4,7.36,0.4,7.49,0.4,292,2,287,2,1.7,0
10,3702,2002,32,1910,2.2,13,8.1,0.37,7.83,0.37,7.79,0.38,7.93,0.38,291,2,284,1,2,0
10,3702,2002,32,1920,2.2,13,7.81,0.45,7.61,0.44,7.59,0.4,7.73,0.42,290,2,284,2,2,0.1
10,3702,2002,32,1930,2.2,13,7.91,0.4,7.63,0.4,7.51,0.38,7.65,0.4,289,2,281,2,2,0.1
10,3702,2002,32,1940,2.2,13,7.79,0.4,7.61,0.4,7.51,0.4,7.63,0.4,287,2,278,2,2.2,0.1
10,3702,2002,32,1950,1.8,13,7.59,0.38,7.49,0.4,7.45,0.38,7.59,0.4,290,2,281,3,2.2,0.1
10,3702,2002,32,2000,1.8,13,7.13,0.48,6.95,0.45,6.9,0.44,6.99,0.44,291,2,281,2,2.2,0.1
10,3702,2002,32,2010,1.8,13,6.31,0.42,6.18,0.44,6.16,0.42,6.24,0.44,294,2,284,2,2.2,0
10,3702,2002,32,2020,1.8,13,6.07,0.38,5.93,0.37,5.92,0.37,5.99,0.38,295,2,284,2,2.2,0
10,3702,2002,32,2030,1.8,13,5.72,0.38,5.57,0.4,5.55,0.4,5.62,0.38,295,2,285,2,2.2,0
10,3702,2002,32,2040,1.8,13,5.62,0.27,5.57,0.32,5.62,0.29,5.72,0.29,297,2,287,2,2.2,0.1
10,3702,2002,32,2050,1.8,13,5.55,0.38,5.5,0.37,5.58,0.35,5.7,0.32,295,3,286,3,2.2,0.1
10,3702,2002,32,2100,1.8,13,4.91,0.5,4.93,0.5,5.17,0.45,5.26,0.48,294,3,286,2,2.2,0.1
10,3702,2002,32,2110,1.8,13,4.32,0.38,4.34,0.42,4.64,0.42,4.77,0.4,299,4,291,3,2.2,0
10,3702,2002,32,2120,1.8,12.9,3.55,0.4,3.54,0.38,3.84,0.4,3.94,0.42,308,6,296,3,2.2,0.1
10,3702,2002,32,2130,1.8,12.9,3.24,0.4,2.95,0.38,3.23,0.4,3.1,0.56,318,5,301,5,2.2,0.1
10,3702,2002,32,2140,1.4,12.9,3.83,0.4,3.42,0.37,3.39,0.35,3.27,0.44,310,2,303,3,2.4,0.1
10,3702,2002,32,2150,1.4,12.9,3.42,0.37,3.03,0.4,3.04,0.4,3.03,0.4,309,3,302,3,2.4,0.1
10,3702,2002,32,2200,1.4,12.9,3.33,0.37,3.01,0.38,3.1,0.38,2.72,0.54,314,3,307,3,2.4,0
10,3702,2002,32,2210,1.4,12.9,2.81,0.52,2.42,0.52,2.53,0.5,1.97,0.54,315,4,308,3,2.4,0
10,3702,2002,32,2220,1.4,12.9,1.87,0.5,1.4,0.48,1.67,0.44,1.42,0.38,328,9,310,0,2,0.3
10,3702,2002,32,2230,1.4,12.9,0.58,0.4,0.4,0.2,0.5,0.35,0.49,0.34,336,1,310,0,1.7,0.1
10,3702,2002,32,2240,1.4,12.9,0.48,0.29,0.35,0,0.41,0.21,0.38,0.14,326,7,310,0,2,0.1
10,3702,2002,32,2250,0.9,12.9,1.2,0.34,0.56,0.35,0.98,0.35,0.9,0.37,305,4,275,15,2.2,0.1
10,3702,2002,32,2300,0.9,12.9,1.24,0.29,0.7,0.38,1.21,0.27,0.88,0.4,327,6,278,6,2.2,0
10,3702,2002,32,2310,0.9,12.9,1.23,0.29,0.69,0.38,1.25,0.31,1.19,0.27,346,3,308,9,2.2,0.1
10,3702,2002,32,2320,0.9,12.9,1.21,0.4,0.79,0.45,1.34,0.4,0.99,0.45,335,9,312,0,2.4,0.1
10,3702,2002,32,2330,0.9,12.9,1.73,0.31,1.5,0.38,1.92,0.27,1.42,0.42,316,1,312,0,2.4,0
10,3702,2002,32,2340,0.9,12.9,1.58,0.4,1.5,0.38,1.91,0.29,1.46,0.4,319,1,310,0,2.4,0.1
10,3702,2002,32,2350,0.9,12.9,0.92,0.5,0.64,0.42,1.29,0.44,0.67,0.5,320,1,310,0,2.4,0.1
10,3702,2002,32,2400,0.9,12.9,0.35,0,0.35,0,0.36,0.08,0.35,0,321,0,310,0,2.2,0.1
10,3702,2002,33,10,0.9,12.9,0.35,0,0.35,0,0.35,0,0.35,0,321,0,312,0,2.2,0.1
10,3702,2002,33,20,0.9,12.9,0.35,0,0.35,0,0.35,0,0.35,0,321,0,310,0,2,0.1
10,3702,2002,33,30,0.5,12.9,0.35,0,0.35,0,0.35,0,0.35,0,321,0,312,0,2,0.1
10,3702,2002,33,40,0.5,12.9,0.35,0,0.35,0,0.35,0,0.35,0,321,0,312,0,2,0
10,3702,2002,33,50,0.5,12.9,0.35,0,0.35,0,0.35,0,0.35,0,321,0,312,0,2,0.1
10,3702,2002,33,100,0.5,12.9,0.35,0,0.35,0,0.35,0,0.35,0,321,0,310,0,2,0.1
10,3702,2002,33,110,0.5,12.9,0.35,0,0.35,0,0.35,0,0.35,0,321,0,312,0,2,0.1
10,3702,2002,33,120,0.5,12.9,0.35,0,0.35,0,0.35,0.03,0.35,0,321,0,310,0,2,0
10,3702,2002,33,130,0.5,12.9,0.35,0,0.35,0,0.69,0.38,0.48,0.29,321,0,310,0,1.7,0.1
10,3702,2002,33,140,0.1,12.9,0.35,0,0.35,0,0.6,0.37,0.42,0.23,321,0,224,61,1.5,0.1
10,3702,2002,33,150,0.1,12.9,0.35,0,0.35,0,0.35,0,0.35,0,322,0,179,0,1.7,0.1
10,3702,2002,33,200,0.1,12.9,0.35,0,0.35,0,0.35,0,0.35,0,356,23,178,0,1.7,0.1
10,3702,2002,33,210,0.1,12.9,0.36,0.1,0.35,0,0.35,0,0.35,0,29,9,178,0,2,0
10,3702,2002,33,220,0.1,12.9,0.35,0,0.35,0,0.36,0.07,0.35,0,41,1,144,15,1.7,0.1
